'date','prize','no1','no2','no3','no4','no5'
2012-04-11,0,8,12,15,33,37
2012-04-12,0,2,6,7,9,33
2012-04-13,0,7,13,18,35,37
2012-04-14,0,2,5,10,13,35
2012-04-15,0,5,15,24,34,37
2012-04-16,0,11,14,16,32,33
2012-04-17,0,11,30,31,37,38
2012-04-18,0,14,15,17,30,39
2012-04-19,0,5,8,23,26,38
2012-04-20,0,8,17,24,25,30
2012-04-21,0,5,8,11,28,39
2012-04-22,0,1,5,22,23,25
2012-04-23,0,5,17,34,35,36
2012-04-24,0,5,17,21,35,36
2012-04-25,0,6,16,24,25,35
2012-04-26,0,4,8,9,11,23
2012-04-27,0,2,9,23,32,34
2012-04-28,0,3,14,17,24,25
2012-04-29,0,11,22,30,32,36
2012-04-30,0,3,8,13,22,36
2012-05-01,0,6,9,11,16,22
2012-05-02,0,1,2,34,35,37
2012-05-03,0,12,14,22,28,39
2012-05-04,0,2,5,6,10,12
2012-05-05,0,6,9,11,24,30
2012-05-06,0,3,14,21,24,25
2012-05-07,0,2,7,16,21,31
2012-05-08,0,20,29,32,33,34
2012-05-09,0,3,10,11,24,32
2012-05-10,0,8,15,22,24,39
2012-05-11,0,8,9,15,21,26
2012-05-14,0,1,11,19,24,39
2012-05-15,0,4,12,15,31,32
2012-05-16,0,13,23,29,30,39
2012-05-17,0,10,13,14,36,38
2012-05-18,0,3,6,23,34,39
2012-05-19,0,6,19,22,26,33
2012-05-20,0,5,10,19,22,38
2012-05-21,0,5,14,15,22,35
2012-05-22,0,5,15,21,28,32
2012-05-23,0,2,4,11,14,39
2012-05-24,0,8,20,25,30,38
2012-05-25,0,9,15,17,26,28
2012-05-26,0,4,7,20,29,37
2012-05-27,0,9,13,14,34,39
2012-05-28,0,1,6,15,27,30
2012-05-29,0,3,9,29,30,39
2012-05-30,0,25,29,33,37,38
2012-05-31,0,7,15,23,24,37
2012-06-01,0,3,4,21,26,36
2012-06-02,0,5,15,16,18,30
2012-06-03,0,3,9,12,33,39
2012-06-04,0,14,16,17,25,37
2012-06-05,0,1,2,4,6,36
2012-06-06,0,2,3,6,28,33
2012-06-07,0,2,6,9,28,38
2012-06-08,0,8,9,23,24,32
2012-06-09,0,15,23,29,32,38
2012-06-10,0,16,18,27,28,39
2012-06-11,0,3,11,24,29,35
2012-06-12,0,5,19,24,34,36
2012-06-13,0,3,7,10,29,37
2012-06-14,0,5,10,30,31,38
2012-06-15,0,14,17,20,21,33
2012-06-16,0,2,8,19,33,35
2012-06-17,0,13,25,26,29,35
2012-06-18,0,10,18,20,24,31
2012-06-19,0,10,15,26,28,30
2012-06-20,0,1,7,13,35,37
2012-06-21,0,1,3,5,7,31
2012-06-22,0,1,6,13,17,34
2012-06-23,0,9,13,22,24,27
2012-06-24,0,6,13,29,31,34
2012-06-25,0,6,8,13,35,36
2012-06-26,0,13,14,16,25,26
2012-06-27,0,8,20,30,33,35
2012-06-28,0,2,6,13,32,34
2012-06-29,0,4,5,12,17,37
2012-07-01,0,13,14,21,29,34
2012-07-02,0,2,11,18,19,37
2012-07-03,0,5,6,9,14,36
2012-07-04,0,6,15,20,27,32
2012-07-05,0,5,12,16,22,31
2012-07-06,0,10,11,22,27,36
2012-07-07,0,2,4,9,14,28
2012-07-08,0,4,6,13,27,35
2012-07-09,0,2,6,19,25,36
2012-07-10,0,3,17,27,36,37
2012-07-11,0,4,7,16,17,19
2012-07-12,0,15,24,27,29,31
2012-07-13,0,6,22,23,25,31
2012-07-14,0,4,7,11,12,32
2012-07-15,0,19,24,27,31,34
2012-07-16,0,2,3,19,24,31
2012-07-17,0,20,23,26,30,36
2012-07-18,0,4,7,14,17,27
2012-07-19,0,3,8,19,23,26
2012-07-20,0,5,9,21,22,25
2012-07-21,0,8,14,20,26,33
2012-07-22,0,8,13,18,25,33
2012-07-23,0,6,16,24,28,39
2012-07-24,0,2,12,15,23,35
2012-07-25,0,11,15,19,21,30
2012-07-26,0,5,20,24,26,37
2012-07-27,0,3,16,17,18,21
2012-07-28,0,4,7,8,9,11
2012-07-29,0,18,23,24,32,34
2012-07-30,0,12,25,26,34,39
2012-07-31,0,2,21,22,23,32
2012-08-01,0,6,11,18,23,38
2012-08-02,0,1,9,12,19,30
2012-08-03,0,1,25,31,33,34
2012-08-04,0,14,27,28,31,36
2012-08-05,0,10,11,18,23,33
2012-08-06,0,11,28,34,36,37
2012-08-07,0,2,3,6,15,22
2012-08-08,0,7,10,27,30,38
2012-08-09,0,3,4,15,31,39
2012-08-10,0,20,21,24,30,36
2012-08-11,0,4,10,24,29,38
2012-08-12,0,18,19,33,38,39
2012-08-13,0,2,3,14,23,30
2012-08-14,0,4,9,19,27,35
2012-08-15,0,3,4,14,26,39
2012-08-16,0,2,6,18,22,38
2012-08-17,0,6,7,16,17,33
2012-08-18,0,5,10,17,24,33
2012-08-19,0,7,16,19,21,29
2012-08-20,0,6,10,23,29,39
2012-08-21,0,8,14,21,38,39
2012-08-22,0,3,6,15,18,23
2012-08-23,0,1,2,14,15,25
2012-08-24,0,13,17,22,23,35
2012-08-25,0,18,20,24,36,39
2012-08-26,0,2,3,5,7,22
2012-08-27,0,5,29,35,37,39
2012-08-28,0,1,4,14,20,26
2012-08-29,0,13,17,25,31,33
2012-08-30,0,2,30,33,34,38
2012-08-31,0,15,25,28,30,37
2012-09-01,0,5,9,15,24,29
2012-09-02,0,8,19,24,26,27
2012-09-03,0,4,14,16,35,36
2012-09-04,0,2,8,24,29,37
2012-09-05,0,4,7,29,33,36
2012-09-06,0,5,7,14,18,22
2012-09-07,0,3,6,17,31,32
2012-09-08,0,5,7,11,27,36
2012-09-09,0,4,5,6,23,26
2012-09-10,0,4,5,16,20,33
2012-09-11,0,7,10,12,28,39
2012-09-12,0,3,7,10,28,31
2012-09-13,0,4,5,21,30,36
2012-09-14,0,4,22,30,32,35
2012-09-15,0,6,9,16,21,27
2012-09-16,0,9,13,24,25,39
2012-09-17,0,11,23,30,33,36
2012-09-18,0,3,8,14,25,35
2012-09-19,0,1,2,7,19,21
2012-09-20,0,9,14,22,25,33
2012-09-21,0,2,6,15,24,35
2012-09-22,0,1,12,14,35,37
2012-09-23,0,5,7,21,22,38
2012-09-24,0,9,10,19,35,37
2012-09-25,0,16,28,29,33,34
2012-09-26,0,15,23,30,38,39
2012-09-27,0,8,16,18,25,34
2012-09-28,0,10,26,28,33,38
2012-09-29,0,16,22,23,30,39
2012-09-30,0,2,8,10,16,31
2012-10-01,0,5,7,16,36,38
2012-10-02,0,9,19,23,33,39
2012-10-03,0,9,14,28,32,34
2012-10-04,0,2,11,17,29,34
2012-10-05,0,1,12,14,18,32
2012-10-06,0,1,2,7,16,25
2012-10-07,0,5,10,11,13,38
2012-10-08,0,1,5,21,27,33
2012-10-09,0,2,7,21,23,31
2012-10-10,0,2,13,21,32,36
2012-10-11,0,5,9,10,13,37
2012-10-12,0,10,21,30,35,38
2012-10-13,0,1,2,3,9,10
2012-10-14,0,18,29,35,37,39
2012-10-15,0,2,11,27,28,31
2012-10-16,0,1,5,10,11,18
2012-10-17,0,6,11,13,20,34
2012-10-18,0,6,7,16,33,38
2012-10-19,0,2,4,19,22,29
2012-10-20,0,7,9,15,33,37
2012-10-21,0,7,8,10,20,27
2012-10-22,0,9,10,15,26,34
2012-10-23,0,1,24,32,33,38
2012-10-24,0,6,8,9,30,37
2012-10-25,0,1,8,9,21,34
2012-10-26,0,1,26,30,36,38
2012-10-27,0,3,6,7,23,31
2012-10-28,0,1,2,13,34,37
2012-10-29,0,1,19,21,22,25
2012-10-30,0,5,16,20,28,37
2012-10-31,0,7,15,17,21,38
2012-11-01,0,3,15,18,19,29
2012-11-02,0,7,9,17,20,28
2012-11-03,0,7,17,24,28,36
2012-11-04,0,3,8,11,12,24
2012-11-05,0,7,15,16,17,33
2012-11-06,0,10,12,22,26,36
2012-11-07,0,6,8,14,27,31
2012-11-08,0,6,13,24,31,37
2012-11-09,0,13,24,25,31,33
2012-11-10,0,2,13,14,25,29
2012-11-11,0,2,3,4,21,30
2012-11-12,0,5,11,16,22,37
2012-11-13,0,9,16,20,21,33
2012-11-14,0,17,18,24,34,35
2012-11-15,0,2,3,7,11,37
2012-11-16,0,4,26,27,31,35
2012-11-17,0,3,6,12,28,33
2012-11-18,0,10,25,27,31,36
2012-11-19,0,9,11,17,22,38
2012-11-20,0,14,23,24,25,30
2012-11-21,0,1,7,9,20,27
2012-11-22,0,4,6,11,20,28
2012-11-23,0,13,14,28,33,36
2012-11-24,0,9,12,15,19,35
2012-11-25,0,3,13,17,19,28
2012-11-26,0,7,10,15,16,24
2012-11-27,0,6,8,13,24,32
2012-11-28,0,2,10,15,18,28
2012-11-29,0,1,11,24,25,35
2012-11-30,0,5,9,26,27,36
2012-12-01,0,9,17,21,28,38
2012-12-02,0,12,20,21,28,33
2012-12-03,0,1,13,14,30,36
2012-12-04,0,4,7,20,31,37
2012-12-05,0,3,16,17,33,34
2012-12-06,0,14,18,24,29,31
2012-12-07,0,1,13,14,22,30
2012-12-08,0,2,7,12,18,29
2012-12-09,0,4,5,15,28,38
2012-12-10,0,1,13,32,35,37
2012-12-11,0,1,10,24,33,34
2012-12-12,0,1,2,11,17,25
2012-12-13,0,15,17,20,30,35
2012-12-14,0,10,16,24,25,35
2012-12-15,0,7,16,18,22,36
2012-12-16,0,2,7,10,31,32
2012-12-17,0,1,20,25,28,37
2012-12-18,0,3,9,12,24,35
2012-12-19,0,10,19,22,25,38
2012-12-20,0,6,10,14,18,23
2012-12-21,0,1,9,16,23,36
2012-12-22,0,2,3,8,10,35
2012-12-23,0,8,23,27,29,37
2012-12-24,0,9,17,18,34,35
2012-12-25,0,2,3,34,36,39
2012-12-26,0,16,26,29,33,38
2012-12-27,0,1,5,9,15,38
2012-12-28,0,1,8,15,23,39
2012-12-29,0,4,12,20,24,32
2012-12-30,0,12,16,20,22,33
2012-12-31,0,5,6,13,17,30
2013-01-01,0,8,21,22,37,39
2013-01-02,0,4,7,26,27,39
2013-01-03,0,21,22,27,30,31
2013-01-04,0,16,25,33,34,37
2013-01-05,0,7,10,11,20,33
2013-01-06,0,1,4,18,27,35
2013-01-07,0,2,21,22,24,35
2013-01-08,0,2,4,7,27,29
2013-01-09,0,1,8,14,22,31
2013-01-10,0,6,22,25,33,35
2013-01-11,0,14,25,27,29,32
2013-01-12,0,2,3,4,16,38
2013-01-13,0,5,11,15,21,30
2013-01-14,0,16,17,18,19,20
2013-01-15,0,2,6,7,26,35
2013-01-16,0,8,14,17,24,34
2013-01-17,0,5,9,16,22,26
2013-01-18,0,11,18,32,33,37
2013-01-19,0,8,10,23,24,25
2013-01-20,0,3,9,10,31,37
2013-01-21,0,14,22,32,36,37
2013-01-22,0,1,15,27,28,35
2013-01-23,0,20,24,30,31,35
2013-01-24,0,24,27,28,29,32
2013-01-25,0,2,4,7,13,22
2013-01-26,0,13,17,24,27,37
2013-01-27,0,11,26,29,34,39
2013-01-28,0,5,7,10,36,39
2013-01-29,0,10,14,26,34,37
2013-01-30,0,5,10,11,24,31
2013-01-31,0,5,12,26,28,33
2013-02-01,0,8,10,22,30,34
2013-02-02,0,2,12,15,29,36
2013-02-03,0,5,16,17,21,29
2013-02-04,0,1,21,32,35,38
2013-02-05,0,1,10,11,24,34
2013-02-06,0,5,10,15,29,34
2013-02-07,0,3,4,16,29,35
2013-02-08,0,1,12,15,22,29
2013-02-09,0,5,10,18,30,32
2013-02-10,0,10,14,17,19,37
2013-02-11,0,1,3,7,21,30
2013-02-12,0,4,18,25,30,33
2013-02-13,0,13,25,28,35,39
2013-02-14,0,7,9,19,26,38
2013-02-15,0,3,4,33,36,39
2013-02-16,0,4,17,24,27,28
2013-02-17,0,15,17,28,29,37
2013-02-18,0,5,13,16,32,36
2013-02-19,0,13,16,21,23,29
2013-02-20,0,1,5,14,28,38
2013-02-21,0,5,14,21,32,37
2013-02-22,0,6,12,27,34,35
2013-02-23,0,6,8,23,28,29
2013-02-24,0,3,4,6,26,35
2013-02-25,0,5,18,27,33,35
2013-02-26,0,5,10,16,18,33
2013-02-27,0,1,3,9,24,26
2013-02-28,0,8,24,26,33,36
2013-03-01,0,6,7,9,10,35
2013-03-02,0,2,3,24,36,39
2013-03-03,0,2,8,29,34,38
2013-03-04,0,1,9,23,32,38
2013-03-05,0,3,5,22,38,39
2013-03-06,0,4,15,18,28,35
2013-03-07,0,16,19,25,33,38
2013-03-08,0,11,22,32,35,38
2013-03-09,0,4,7,21,37,38
2013-03-10,0,2,11,23,37,39
2013-03-11,0,8,13,23,26,32
2013-03-12,0,3,5,26,33,36
2013-03-13,0,6,14,20,38,39
2013-03-14,0,8,12,15,33,36
2013-03-15,0,9,20,24,27,28
2013-03-16,0,3,12,20,24,29
2013-03-17,0,1,6,8,14,31
2013-03-18,0,3,7,26,37,39
2013-03-19,0,13,14,20,29,35
2013-03-20,0,2,4,6,24,30
2013-03-21,0,6,8,16,28,30
2013-03-22,0,6,16,17,19,20
2013-03-23,0,6,7,14,25,30
2013-03-24,0,12,13,19,22,38
2013-03-25,0,7,15,25,31,35
2013-03-26,0,2,5,13,32,35
2013-03-27,0,3,14,25,30,35
2013-03-28,0,9,17,21,34,39
2013-03-29,0,3,4,15,32,39
2013-03-30,0,2,4,16,30,31
2013-03-31,0,3,12,28,30,39
2013-04-01,0,15,18,21,32,36
2013-04-02,0,6,16,25,30,32
2013-04-03,0,3,7,21,26,37
2013-04-04,0,2,6,19,33,39
2013-04-05,0,3,15,26,30,32
2013-04-06,0,4,25,28,29,36
2013-04-07,0,3,11,33,36,38
2013-04-08,0,9,10,15,28,33
2013-04-09,0,3,30,31,32,37
2013-04-10,0,2,16,22,28,31
2013-04-11,0,1,4,7,27,36
2013-04-12,0,9,12,25,27,33
2013-04-13,0,8,11,13,23,25
2013-04-14,0,3,5,7,10,12
2013-04-15,0,1,2,3,15,38
2013-04-16,0,12,19,23,33,35
2013-04-17,0,4,8,18,30,34
2013-04-18,0,4,6,20,28,39
2013-04-19,0,3,9,11,26,35
2013-04-20,0,21,25,37,38,39
2013-04-21,0,4,9,18,22,30
2013-04-22,0,4,8,22,25,30
2013-04-23,0,1,17,22,25,36
2013-04-24,0,12,19,30,34,36
2013-04-25,0,16,19,31,34,38
2013-04-26,0,8,22,29,33,37
2013-04-27,0,12,28,33,35,36
2013-04-28,0,9,11,22,28,29
2013-04-29,0,9,17,21,23,33
2013-04-30,0,2,12,14,29,39
2013-05-01,0,11,14,21,25,37
2013-05-02,0,1,6,9,17,29
2013-05-03,0,10,11,18,29,31
2013-05-04,0,5,23,25,26,32
2013-05-05,0,13,14,21,23,25
2013-05-06,0,1,6,7,14,26
2013-05-07,0,7,16,23,29,34
2013-05-08,0,4,7,14,28,31
2013-05-09,0,8,12,17,37,38
2013-05-10,0,2,3,13,20,23
2013-05-11,0,13,19,27,32,38
2013-05-12,0,6,16,18,24,38
2013-05-13,0,11,13,15,24,34
2013-05-14,0,2,8,25,30,32
2013-05-15,0,7,11,19,28,39
2013-05-16,0,4,21,23,29,37
2013-05-17,0,17,19,20,26,35
2013-05-18,0,2,8,18,22,26
2013-05-19,0,9,20,26,30,37
2013-05-20,0,1,13,18,19,20
2013-05-21,0,3,7,13,23,36
2013-05-22,0,10,23,30,31,33
2013-05-23,0,10,27,30,36,39
2013-05-24,0,7,9,28,29,33
2013-05-25,0,12,17,21,23,24
2013-05-26,0,4,5,9,18,27
2013-05-27,0,1,8,10,26,35
2013-05-28,0,22,24,27,29,30
2013-05-29,0,7,9,12,26,31
2013-05-30,0,7,13,21,30,36
2013-05-31,0,1,9,17,21,28
2013-06-01,0,1,2,11,15,35
2013-06-02,0,1,6,19,21,31
2013-06-03,0,7,28,33,34,37
2013-06-04,0,2,4,13,28,30
2013-06-05,0,3,12,20,21,34
2013-06-06,0,23,26,27,34,36
2013-06-07,0,9,10,20,29,31
2013-06-08,0,3,10,31,32,37
2013-06-09,0,16,19,20,35,36
2013-06-10,0,3,6,19,34,39
2013-06-11,0,13,14,16,18,39
2013-06-12,0,15,22,28,36,37
2013-06-13,0,3,4,15,36,38
2013-06-14,0,1,2,3,23,39
2013-06-15,0,15,16,30,38,39
2013-06-16,0,2,4,7,11,30
2013-06-17,0,5,20,21,29,31
2013-06-18,0,3,15,27,32,39
2013-06-19,0,13,16,23,32,36
2013-06-20,0,13,17,26,30,39
2013-06-21,0,13,21,33,35,37
2013-06-22,0,15,18,19,28,32
2013-06-23,0,1,3,11,35,38
2013-06-24,0,4,20,22,31,37
2013-06-25,0,8,12,20,25,39
2013-06-26,0,12,24,30,34,36
2013-06-27,0,8,11,15,29,33
2013-06-28,0,12,31,32,33,37
2013-06-29,0,12,17,26,29,38
2013-06-30,0,10,11,13,21,38
2013-07-01,0,2,8,23,31,38
2013-07-02,0,16,20,31,34,35
2013-07-03,0,4,23,25,31,39
2013-07-04,0,1,11,26,29,33
2013-07-05,0,10,20,26,27,38
2013-07-06,0,12,18,20,27,28
2013-07-07,0,2,11,14,23,32
2013-07-08,0,2,7,18,20,33
2013-07-09,0,8,12,30,32,34
2013-07-10,0,10,17,23,28,34
2013-07-11,0,1,10,26,30,39
2013-07-12,0,5,18,32,34,35
2013-07-13,0,4,19,21,24,25
2013-07-14,0,1,13,20,25,32
2013-07-15,0,3,12,13,16,18
2013-07-16,0,2,8,12,31,36
2013-07-17,0,7,10,12,14,25
2013-07-18,0,10,12,16,21,30
2013-07-19,0,9,13,25,29,36
2013-07-20,0,3,11,22,26,31
2013-07-21,0,13,19,25,36,37
2013-07-22,0,10,13,18,22,23
2013-07-23,0,1,18,24,37,39
2013-07-24,0,5,9,11,18,34
2013-07-25,0,5,9,15,23,34
2013-07-26,0,24,26,28,31,33
2013-07-27,0,4,6,13,17,25
2013-07-28,0,5,15,25,29,39
2013-07-29,0,3,20,23,25,39
2013-07-30,0,2,4,11,30,31
2013-07-31,0,6,15,33,37,38
2013-08-01,0,1,2,17,33,37
2013-08-02,0,3,12,19,24,38
2013-08-03,0,9,16,25,28,30
2013-08-04,0,10,12,17,24,25
2013-08-05,0,1,3,12,23,27
2013-08-06,0,10,12,14,23,35
2013-08-07,0,5,15,29,37,38
2013-08-08,0,2,6,7,21,34
2013-08-09,0,6,12,17,32,34
2013-08-10,0,6,14,28,37,39
2013-08-11,0,6,15,24,31,37
2013-08-12,0,5,6,7,32,37
2013-08-13,0,10,25,27,31,34
2013-08-14,0,4,20,34,36,39
2013-08-15,0,3,4,12,15,35
2013-08-16,0,6,7,9,15,34
2013-08-17,0,3,15,17,24,31
2013-08-18,0,2,8,26,36,38
2013-08-19,0,3,19,21,24,37
2013-08-20,0,14,17,26,30,34
2013-08-21,0,3,5,16,18,24
2013-08-22,0,3,12,18,24,33
2013-08-23,0,17,20,26,31,37
2013-08-24,0,10,11,20,26,30
2013-08-25,0,5,8,20,27,34
2013-08-26,0,6,10,16,21,23
2013-08-27,0,3,7,11,20,22
2013-08-28,0,2,7,13,15,23
2013-08-29,0,2,10,18,26,32
2013-08-30,0,10,16,21,22,39
2013-08-31,0,1,3,8,23,24
2013-09-01,0,19,23,25,28,36
2013-09-02,0,11,13,15,23,33
2013-09-03,0,9,14,21,34,38
2013-09-04,0,4,12,18,32,37
2013-09-05,0,7,9,19,34,36
2013-09-06,0,10,15,19,22,24
2013-09-07,0,14,24,26,37,38
2013-09-08,0,1,6,25,31,38
2013-09-09,0,3,8,9,14,23
2013-09-10,0,10,16,24,28,39
2013-09-11,0,4,5,10,11,12
2013-09-12,0,18,20,25,33,39
2013-09-13,0,2,17,27,33,38
2013-09-14,0,2,4,16,23,31
2013-09-15,0,8,14,20,24,32
2013-09-16,0,8,14,19,20,29
2013-09-17,0,11,16,22,35,36
2013-09-18,0,6,8,10,15,34
2013-09-19,0,3,6,7,21,31
2013-09-20,0,12,15,22,31,37
2013-09-21,0,2,14,18,33,37
2013-09-22,0,8,11,13,34,38
2013-09-23,0,2,4,6,7,38
2013-09-24,0,7,11,18,19,29
2013-09-25,0,1,20,24,31,38
2013-09-26,0,7,32,36,37,38
2013-09-27,0,11,12,16,19,28
2013-09-28,0,6,15,29,33,36
2013-09-29,0,20,24,27,34,38
2013-09-30,0,6,13,21,28,36
2013-10-01,0,12,13,21,24,34
2013-10-02,0,6,16,34,35,38
2013-10-03,0,7,23,31,33,34
2013-10-04,0,6,8,11,16,22
2013-10-05,0,10,11,21,26,36
2013-10-06,0,3,23,25,29,31
2013-10-07,0,7,8,10,17,33
2013-10-08,0,2,13,31,36,37
2013-10-09,0,1,18,19,21,33
2013-10-10,0,1,7,22,26,28
2013-10-11,0,13,14,18,19,39
2013-10-12,0,2,14,17,34,38
2013-10-13,0,15,24,28,29,31
2013-10-14,0,1,25,31,38,39
2013-10-15,0,4,19,20,24,30
2013-10-16,0,23,25,31,33,36
2013-10-17,0,5,27,33,35,37
2013-10-18,0,6,22,34,35,38
2013-10-19,0,8,11,12,26,33
2013-10-20,0,9,19,26,33,38
2013-10-21,0,13,19,27,28,30
2013-10-22,0,13,20,34,38,39
2013-10-23,0,2,13,20,26,38
2013-10-24,0,16,22,29,32,38
2013-10-25,0,5,24,30,32,36
2013-10-26,0,2,7,13,14,26
2013-10-27,0,9,11,22,29,31
2013-10-28,0,8,28,32,36,37
2013-10-29,0,4,10,21,22,38
2013-10-30,0,6,11,16,21,33
2013-10-31,0,7,9,13,16,39
2013-11-01,0,7,9,13,16,39
2013-11-02,0,12,28,29,36,39
2013-11-03,0,3,6,23,36,38
2013-11-04,0,13,16,25,31,32
2013-11-05,0,1,4,13,16,19
2013-11-06,0,14,18,24,28,39
2013-11-07,0,8,11,24,28,39
2013-11-08,0,18,21,24,25,38
2013-11-09,0,10,17,19,26,39
2013-11-10,0,3,6,12,15,33
2013-11-11,0,7,14,30,33,35
2013-11-12,0,10,22,23,24,25
2013-11-13,0,6,9,15,28,38
2013-11-14,0,8,13,17,28,38
2013-11-15,0,2,9,19,23,39
2013-11-16,0,9,18,21,25,39
2013-11-17,0,11,13,20,29,34
2013-11-18,0,3,8,15,22,29
2013-11-19,0,2,7,14,26,31
2013-11-20,0,1,6,9,19,37
2013-11-21,0,12,29,33,37,39
2013-11-22,0,6,14,23,26,27
2013-11-23,0,5,7,11,14,18
2013-11-24,0,9,17,25,27,36
2013-11-25,0,12,13,18,27,38
2013-11-26,0,9,11,12,15,32
2013-11-27,0,3,14,21,34,39
2013-11-28,0,5,8,26,34,36
2013-11-29,0,8,14,21,34,37
2013-11-30,0,14,18,25,32,39
2013-12-01,0,3,20,27,29,32
2013-12-02,0,8,17,23,34,39
2013-12-03,0,10,16,17,26,35
2013-12-04,0,8,9,13,29,30
2013-12-05,0,2,11,19,22,31
2013-12-06,0,3,10,14,23,31
2013-12-07,0,14,27,35,37,38
2013-12-08,0,4,9,15,16,27
2013-12-09,0,8,9,13,21,37
2013-12-10,0,10,11,19,22,37
2013-12-11,0,5,8,19,23,36
2013-12-12,0,2,3,8,31,37
2013-12-13,0,6,22,23,24,34
2013-12-14,0,2,9,25,28,32
2013-12-15,0,10,17,18,21,25
2013-12-16,0,3,4,23,26,31
2013-12-17,0,8,14,19,32,36
2013-12-18,0,9,10,22,33,35
2013-12-19,0,15,16,28,32,36
2013-12-20,0,10,11,14,30,38
2013-12-21,0,2,8,22,37,38
2013-12-22,0,1,3,8,17,38
2013-12-23,0,4,15,20,25,34
2013-12-24,0,7,18,27,28,37
2013-12-25,0,1,7,16,22,23
2013-12-26,0,2,10,13,17,26
2013-12-27,0,3,6,17,27,35
2013-12-28,0,4,15,27,30,37
2013-12-29,0,4,27,29,32,38
2013-12-30,0,1,2,3,14,38
2013-12-31,0,4,7,13,19,35
2014-01-01,0,1,3,16,18,37
2014-01-02,0,3,6,12,13,23
2014-01-03,0,2,18,20,21,34
2014-01-04,0,2,3,9,12,19
2014-01-05,0,4,21,30,36,38
2014-01-06,0,15,16,24,34,36
2014-01-07,0,9,12,13,32,35
2014-01-08,0,2,17,23,27,31
2014-01-09,0,1,27,35,36,37
2014-01-10,0,6,7,19,26,27
2014-01-11,0,4,5,6,15,24
2014-01-12,0,13,16,27,38,39
2014-01-13,0,1,4,17,30,35
2014-01-14,0,1,6,16,20,31
2014-01-15,0,2,3,7,16,35
2014-01-16,0,8,9,18,31,32
2014-01-17,0,12,15,20,24,37
2014-01-18,0,10,15,19,26,32
2014-01-19,0,1,12,13,24,27
2014-01-20,0,11,12,24,28,38
2014-01-21,0,12,19,22,34,39
2014-01-22,0,4,9,25,28,39
2014-01-23,0,2,9,10,31,36
2014-01-24,0,2,13,19,25,33
2014-01-25,0,1,4,24,38,39
2014-01-26,0,28,30,31,32,34
2014-01-27,0,2,3,22,33,37
2014-01-28,0,3,6,14,20,30
2014-01-29,0,2,24,25,36,37
2014-01-30,0,15,18,27,30,32
2014-01-31,0,5,16,18,25,30
2014-02-01,0,5,16,18,25,30
2014-02-02,0,9,19,26,38,39
2014-02-03,0,2,6,20,23,38
2014-02-04,0,2,7,13,26,36
2014-02-05,0,9,25,28,33,36
2014-02-06,0,6,11,16,29,34
2014-02-07,0,7,13,20,31,34
2014-02-08,0,3,10,14,32,37
2014-02-09,0,4,14,26,29,37
2014-02-10,0,7,12,17,35,38
2014-02-11,0,2,18,21,25,27
2014-02-12,0,10,30,34,36,38
2014-02-13,0,9,12,22,30,34
2014-02-14,0,2,11,20,26,35
2014-02-15,0,20,22,25,28,30
2014-02-16,0,7,15,22,25,32
2014-02-17,0,11,12,15,16,17
2014-02-18,0,1,17,26,33,37
2014-02-19,0,7,10,21,28,34
2014-02-20,0,6,8,13,23,30
2014-02-21,0,19,30,33,37,39
2014-02-22,0,2,7,16,33,34
2014-02-23,0,15,19,26,29,37
2014-02-24,0,1,5,11,15,16
2014-02-25,0,7,10,28,35,39
2014-02-26,0,15,19,24,35,38
2014-02-27,0,9,19,22,27,39
2014-02-28,0,1,5,8,12,13
2014-03-01,0,1,9,20,29,32
2014-03-02,0,3,12,23,28,33
2014-03-03,0,3,7,21,29,32
2014-03-04,0,4,7,10,20,34
2014-03-05,0,1,16,18,25,34
2014-03-06,0,4,9,21,27,35
2014-03-07,0,12,16,20,31,37
2014-03-08,0,11,20,21,25,33
2014-03-09,0,18,20,26,29,33
2014-03-10,0,16,17,24,32,35
2014-03-11,0,2,5,9,12,24
2014-03-12,0,9,19,25,28,33
2014-03-13,0,5,22,24,27,29
2014-03-14,0,9,10,11,31,33
2014-03-15,0,27,33,34,36,37
2014-03-16,0,1,5,6,25,36
2014-03-17,0,8,10,12,14,33
2014-03-18,0,1,4,14,15,19
2014-03-19,0,8,9,16,22,34
2014-03-20,0,5,25,26,37,38
2014-03-21,0,13,14,25,32,34
2014-03-22,0,1,8,11,14,29
2014-03-23,0,4,9,14,28,30
2014-03-24,0,1,16,27,29,37
2014-03-25,0,3,8,23,26,39
2014-03-26,0,1,3,28,32,33
2014-03-27,0,22,25,26,31,35
2014-03-28,0,10,20,23,35,39
2014-03-29,0,14,17,20,38,39
2014-03-30,0,16,18,20,23,38
2014-03-31,0,4,7,9,11,34
2014-04-01,0,4,7,9,11,34
2014-04-02,0,12,17,23,32,33
2014-04-03,0,5,7,10,12,27
2014-04-04,0,9,13,23,34,39
2014-04-05,0,2,3,4,17,35
2014-04-06,0,4,7,16,23,24
2014-04-07,0,3,5,13,38,39
2014-04-08,0,11,17,19,21,24
2014-04-09,0,8,19,21,28,32
2014-04-10,0,9,11,19,30,36
2014-04-11,0,7,12,18,25,28
2014-04-12,0,14,15,17,21,36
2014-04-13,0,10,11,23,27,33
2014-04-14,0,4,10,13,29,34
2014-04-15,0,8,10,15,18,23
2014-04-16,0,1,19,32,33,34
2014-04-17,0,8,9,10,24,36
2014-04-18,0,6,8,10,15,18
