'date','prize','no1','no2','no3','no4','no5'
2010-09-20,0,27,30,32,36,38
2010-09-21,0,8,15,18,29,30
2010-09-22,0,5,15,26,34,35
2010-09-23,0,11,22,24,33,37
2010-09-24,0,5,11,19,29,34
2010-09-25,0,13,21,24,29,34
2010-09-26,0,8,13,15,17,30
2010-09-27,0,9,10,26,33,39
2010-09-28,0,2,6,15,19,28
2010-09-29,0,6,13,16,35,38
2010-09-30,0,8,15,24,27,30
2010-10-01,0,1,12,31,33,37
2010-10-02,0,2,3,8,11,30
2010-10-03,0,2,7,9,11,15
2010-10-04,0,2,12,25,27,38
2010-10-05,0,10,20,22,23,37
2010-10-06,0,9,22,24,26,38
2010-10-07,0,7,14,16,33,34
2010-10-08,0,1,3,9,10,35
2010-10-09,0,2,16,19,27,28
2010-10-10,0,5,10,21,36,38
2010-10-11,0,9,12,27,36,37
2010-10-12,0,27,29,31,37,39
2010-10-13,0,12,16,20,30,31
2010-10-14,0,2,10,28,38,39
2010-10-15,0,2,5,6,21,39
2010-10-16,0,8,11,16,23,27
2010-10-17,0,14,23,28,33,38
2010-10-18,0,13,14,21,22,34
2010-10-19,0,16,25,28,29,39
2010-10-20,0,9,14,20,23,28
2010-10-21,0,5,12,14,19,24
2010-10-22,0,9,14,17,21,29
2010-10-23,0,1,4,7,33,39
2010-10-24,0,1,6,10,13,14
2010-10-25,0,12,16,21,24,29
2010-10-26,0,7,17,18,26,29
2010-10-27,0,2,3,6,31,32
2010-10-28,0,13,16,21,25,27
2010-10-29,0,3,7,14,29,32
2010-10-30,0,15,18,21,33,39
2010-10-31,0,18,19,30,32,38
2010-11-01,0,6,11,33,37,38
2010-11-02,0,6,8,9,28,37
2010-11-03,0,6,15,22,25,31
2010-11-04,0,6,14,26,31,38
2010-11-05,0,16,21,22,29,34
2010-11-06,0,2,4,9,20,28
2010-11-07,0,6,11,21,24,39
2010-11-08,0,6,10,16,21,23
2010-11-09,0,2,12,22,27,33
2010-11-10,0,2,18,23,26,27
2010-11-11,0,8,13,28,31,38
2010-11-12,0,19,21,24,29,32
2010-11-13,0,4,11,26,29,34
2010-11-14,0,3,4,30,36,37
2010-11-15,0,6,9,10,24,28
2010-11-16,0,5,13,17,26,36
2010-11-17,0,16,17,20,32,36
2010-11-18,0,16,18,32,35,39
2010-11-19,0,17,20,28,34,37
2010-11-20,0,4,11,20,23,35
2010-11-21,0,11,15,16,20,37
2010-11-22,0,3,5,7,10,13
2010-11-23,0,10,13,24,30,37
2010-11-24,0,11,14,27,28,37
2010-11-25,0,1,15,22,27,33
2010-11-26,0,3,7,9,11,39
2010-11-27,0,6,13,14,17,39
2010-11-28,0,1,12,17,20,32
2010-11-29,0,5,8,14,30,37
2010-11-30,0,3,5,20,22,36
2010-12-01,0,13,17,32,34,39
2010-12-02,0,3,4,20,22,27
2010-12-03,0,2,5,13,27,32
2010-12-04,0,2,3,20,34,38
2010-12-05,0,14,20,28,33,35
2010-12-06,0,3,11,12,19,22
2010-12-07,0,7,12,14,22,34
2010-12-08,0,3,11,19,29,38
2010-12-09,0,11,14,16,21,23
2010-12-10,0,3,5,6,24,38
2010-12-11,0,2,15,19,21,30
2010-12-12,0,2,6,8,29,36
2010-12-13,0,4,6,9,33,38
2010-12-14,0,8,9,23,25,37
2010-12-15,0,3,8,15,28,39
2010-12-16,0,9,10,33,36,37
2010-12-17,0,1,4,6,22,36
2010-12-18,0,12,13,23,34,38
2010-12-19,0,28,29,30,32,38
2010-12-20,0,2,4,15,28,31
2010-12-21,0,3,15,16,37,39
2010-12-22,0,2,21,23,24,25
2010-12-23,0,12,21,28,29,32
2010-12-24,0,8,15,21,28,30
2010-12-25,0,7,12,21,24,33
2010-12-26,0,21,29,30,37,38
2010-12-27,0,1,3,6,27,28
2010-12-28,0,18,20,25,31,38
2010-12-29,0,3,14,19,22,34
2010-12-30,0,15,19,21,28,39
2010-12-31,0,5,7,16,18,30
2011-01-01,0,7,15,16,23,28
2011-01-02,0,7,15,16,23,28
2011-01-03,0,1,2,26,27,37
2011-01-04,0,1,4,16,30,35
2011-01-05,0,4,12,13,22,36
2011-01-06,0,13,19,25,34,39
2011-01-07,0,5,21,24,30,35
2011-01-08,0,6,7,16,37,38
2011-01-09,0,4,8,13,19,20
2011-01-10,0,9,10,17,25,37
2011-01-11,0,2,3,6,22,36
2011-01-12,0,4,32,35,36,37
2011-01-13,0,1,11,16,31,33
2011-01-14,0,6,9,12,14,27
2011-01-15,0,12,22,27,38,39
2011-01-16,0,12,14,21,31,37
2011-01-17,0,2,7,12,18,37
2011-01-18,0,19,23,27,32,35
2011-01-19,0,5,9,10,13,34
2011-01-20,0,4,10,14,18,30
2011-01-21,0,3,12,23,25,28
2011-01-22,0,15,18,27,36,39
2011-01-23,0,1,6,9,15,32
2011-01-24,0,5,14,25,28,38
2011-01-25,0,8,9,10,15,27
2011-01-26,0,3,9,17,19,34
2011-01-27,0,2,11,13,29,37
2011-01-28,0,17,21,22,33,39
2011-01-29,0,6,12,29,33,36
2011-01-30,0,2,7,13,35,37
2011-01-31,0,4,7,11,16,35
2011-02-01,0,5,9,18,30,35
2011-02-02,0,3,8,15,21,23
2011-02-03,0,7,9,13,19,23
2011-02-04,0,18,29,30,32,36
2011-02-05,0,8,9,13,14,15
2011-02-06,0,7,10,29,34,38
2011-02-07,0,11,19,24,29,35
2011-02-08,0,14,20,23,26,35
2011-02-09,0,2,12,15,21,30
2011-02-10,0,7,15,21,22,30
2011-02-11,0,12,30,34,37,39
2011-02-12,0,5,8,15,29,32
2011-02-13,0,9,12,22,28,31
